Circuit delay: 2364.17 ps

Gate slacks:
NAND-n493: 2600.59 ps
INPUT-n494: 1913.77 ps
NAND-n495: 2600.59 ps
INPUT-n496: 2003.08 ps
NAND-n497: 2600.59 ps
INPUT-n498: 1951.29 ps
NAND-n499: 2600.59 ps
INPUT-n500: 2015.33 ps
NAND-n501: 2600.59 ps
INPUT-n502: 2034.03 ps
NAND-n503: 2600.59 ps
INPUT-n504: 2018.70 ps
NAND-n505: 2600.59 ps
INPUT-n506: 2024.91 ps
NAND-n507: 2600.59 ps
INPUT-n508: 2031.64 ps
NAND-n509: 2600.59 ps
INPUT-n510: 2015.84 ps
NAND-n511: 2600.59 ps
INPUT-n512: 2045.98 ps
NAND-n513: 2600.59 ps
INPUT-n514: 2055.69 ps
NAND-n515: 2600.59 ps
INPUT-n516: 2043.13 ps
NAND-n517: 2600.59 ps
INPUT-n518: 2088.16 ps
NAND-n519: 2600.59 ps
INPUT-n520: 1783.95 ps
NAND-n521: 2600.59 ps
INPUT-n522: 1771.52 ps
NAND-n523: 2600.59 ps
INPUT-n524: 1541.86 ps
NAND-n525: 2600.59 ps
INPUT-n526: 1539.93 ps
NAND-n527: 2600.59 ps
INPUT-n528: 1525.62 ps
NAND-n529: 2600.59 ps
INPUT-n530: 1515.52 ps
NAND-n531: 2600.59 ps
INPUT-n532: 1612.56 ps
NAND-n533: 2600.59 ps
INPUT-n534: 1558.81 ps
NAND-n535: 2600.59 ps
INPUT-n536: 1575.29 ps
NAND-n537: 2600.59 ps
INPUT-n538: 1650.96 ps
NAND-n539: 2600.59 ps
INPUT-n540: 1656.40 ps
NAND-n541: 2600.59 ps
INPUT-n542: 1703.28 ps
NAND-n543: 2600.59 ps
INPUT-n544: 1643.57 ps
NAND-n545: 2600.59 ps
INPUT-n546: 1678.54 ps
NAND-n547: 2600.59 ps
INPUT-n548: 1781.67 ps
NAND-n549: 2600.59 ps
INPUT-n550: 1819.07 ps
NAND-n551: 2600.59 ps
INPUT-n552: 1837.90 ps
NAND-n553: 2600.59 ps
INPUT-n554: 1802.42 ps
NAND-n555: 2600.59 ps
INPUT-n556: 1852.87 ps
NAND-n557: 2600.59 ps
INPUT-n558: 1913.77 ps
NAND-n559: 2600.59 ps
INPUT-n560: 2003.08 ps
NAND-n561: 2600.59 ps
INPUT-n562: 1951.29 ps
NAND-n563: 2600.59 ps
INPUT-n564: 2015.33 ps
NAND-n565: 2600.59 ps
INPUT-n566: 2034.03 ps
NAND-n567: 2600.59 ps
INPUT-n568: 2018.70 ps
