Circuit delay: 0.00 ps

Gate slacks:
INPUT-n433: -1.33 ps
NAND-n434: -0.76 ps
INPUT-n435: -1.34 ps
NAND-n436: -0.76 ps
INPUT-n437: -1.34 ps
NAND-n438: -0.76 ps
INPUT-n439: -1.38 ps
NAND-n440: -0.78 ps
INPUT-n441: -1.06 ps
NAND-n442: -0.76 ps
INPUT-n443: -1.28 ps
NAND-n444: -0.76 ps
INPUT-n445: -1.28 ps
NAND-n446: -0.76 ps
INPUT-n447: -1.32 ps
NAND-n448: -0.76 ps
INPUT-n449: -1.33 ps
NAND-n450: -0.76 ps
INPUT-n451: -1.34 ps
NAND-n452: -0.76 ps
INPUT-n453: -1.34 ps
NAND-n454: -0.76 ps
INPUT-n455: -1.38 ps
NAND-n456: -0.78 ps
INPUT-n457: -1.06 ps
NAND-n458: -0.76 ps
INPUT-n459: -1.28 ps
NAND-n460: -0.76 ps
INPUT-n461: -1.28 ps
NAND-n462: -0.76 ps
INPUT-n463: -1.32 ps
NAND-n464: -0.76 ps
INPUT-n465: -1.33 ps
NAND-n466: -0.76 ps
INPUT-n467: -1.34 ps
NAND-n468: -0.76 ps
INPUT-n469: -1.34 ps
NAND-n470: -0.76 ps
INPUT-n471: -1.38 ps
NAND-n472: -0.78 ps
INPUT-n473: -1.06 ps
NAND-n474: -0.76 ps
INPUT-n475: -0.82 ps
NAND-n476: -1.24 ps
INPUT-n477: -1.68 ps
NAND-n478: -1.27 ps
INPUT-n479: -1.66 ps
NAND-n480: -1.31 ps
INPUT-n481: -1.74 ps
NAND-n482: -1.27 ps
INPUT-n483: -1.74 ps
NAND-n484: -1.26 ps
INPUT-n485: -0.82 ps
AND-n486: -0.49 ps
INPUT-n487: -0.84 ps
NAND-n488: -0.70 ps
INPUT-n489: -0.88 ps
NAND-n490: -0.57 ps
INPUT-n491: -0.92 ps
NAND-n492: -0.54 ps
INPUT-n493: -0.97 ps
NAND-n494: -0.49 ps
INPUT-n495: -0.97 ps
NAND-n496: -1.15 ps
INPUT-n497: -0.97 ps
NAND-n498: -1.16 ps
INPUT-n499: -0.97 ps
NAND-n500: -1.19 ps
INPUT-n501: -0.92 ps
NAND-n502: -1.16 ps
INPUT-n503: -0.92 ps
NAND-n504: -1.16 ps
INPUT-n505: -0.88 ps
NAND-n506: -1.19 ps
INPUT-n507: -0.88 ps
NAND-n508: -1.16 ps
INPUT-n509: -0.83 ps
NAND-n510: -1.22 ps
INPUT-n511: -0.83 ps
NAND-n512: -1.45 ps
INPUT-n513: -0.79 ps
NAND-n514: -1.46 ps
INPUT-n515: -0.79 ps
NAND-n516: -1.50 ps
INPUT-n517: -0.75 ps
NAND-n518: -1.56 ps
INPUT-n519: -0.75 ps
NAND-n520: -1.48 ps
INPUT-n521: -0.70 ps
NAND-n522: -1.45 ps
INPUT-n523: -0.70 ps
NAND-n524: -1.50 ps
INPUT-n525: -0.66 ps
NAND-n526: -1.53 ps
INPUT-n527: -0.66 ps
NAND-n528: -1.57 ps
INPUT-n529: -0.64 ps
NAND-n530: -1.61 ps
INPUT-n531: -0.64 ps
NAND-n532: -1.61 ps
INPUT-n533: -0.61 ps
NAND-n534: -1.60 ps
INPUT-n535: -0.58 ps
NAND-n536: -1.55 ps
INPUT-n537: -0.58 ps
NAND-n538: -1.67 ps
INPUT-n539: -0.58 ps
NAND-n540: -1.67 ps
INPUT-n541: -0.55 ps
NAND-n542: -1.59 ps
INPUT-n543: -0.49 ps
NAND-n544: -1.59 ps
INPUT-n545: -0.45 ps
NAND-n546: -1.63 ps
INPUT-n547: -0.45 ps
NAND-n548: -1.66 ps
INPUT-n549: -0.40 ps
NAND-n550: -1.72 ps
INPUT-n551: -0.40 ps
NAND-n552: -1.76 ps
INPUT-n553: -0.36 ps
AND-n554: -1.79 ps
INPUT-n555: -0.30 ps
AND-n556: -1.89 ps
INPUT-n557: -0.43 ps
AND-n558: -1.93 ps
INPUT-n559: -0.79 ps
NAND-n560: -1.29 ps
INPUT-n561: -1.03 ps
NAND-n562: -1.29 ps
INPUT-n563: -1.03 ps
NAND-n564: -1.29 ps
INPUT-n565: -1.03 ps
NAND-n566: -1.29 ps
INPUT-n567: -0.98 ps
NAND-n568: -1.29 ps
INPUT-n569: -0.98 ps
NAND-n570: -1.29 ps
INPUT-n571: -0.94 ps
NAND-n572: -1.28 ps
INPUT-n573: -0.94 ps
NAND-n574: -1.28 ps
INPUT-n575: -0.90 ps
NAND-n576: -1.35 ps
INPUT-n577: -0.90 ps
NAND-n578: -1.36 ps
INPUT-n579: -0.86 ps
NAND-n580: -1.41 ps
INPUT-n581: -0.86 ps
NAND-n582: -1.47 ps
INPUT-n583: -0.81 ps
NAND-n584: -1.39 ps
INPUT-n585: -0.81 ps
NAND-n586: -1.43 ps
INPUT-n587: -0.77 ps
NAND-n588: -1.48 ps
INPUT-n589: -0.77 ps
NAND-n590: -1.51 ps
INPUT-n591: -0.73 ps
NAND-n592: -1.48 ps
INPUT-n593: -0.73 ps
NAND-n594: -1.59 ps
INPUT-n595: -0.68 ps
NAND-n596: -1.59 ps
INPUT-n597: -0.68 ps
NAND-n598: -1.51 ps
INPUT-n599: -0.64 ps
NAND-n600: -1.54 ps
INPUT-n601: -0.64 ps
NAND-n602: -1.64 ps
INPUT-n603: -0.60 ps
NAND-n604: -1.64 ps
INPUT-n605: -0.60 ps
NAND-n606: -1.56 ps
INPUT-n607: -0.56 ps
NAND-n608: -1.56 ps
INPUT-n609: -0.56 ps
NAND-n610: -1.61 ps
INPUT-n611: -0.51 ps
NAND-n612: -1.66 ps
INPUT-n613: -0.51 ps
NAND-n614: -1.69 ps
INPUT-n615: -0.47 ps
NAND-n616: -1.73 ps
INPUT-n617: -0.47 ps
AND-n618: -1.78 ps
INPUT-n619: -0.42 ps
AND-n620: -1.87 ps
INPUT-n621: -0.39 ps
AND-n622: -1.91 ps
INPUT-n623: -0.07 ps
NAND-n624: -1.34 ps
INPUT-n625: -0.07 ps
NAND-n626: -1.34 ps
INPUT-n627: -0.07 ps
NAND-n628: -1.34 ps
INPUT-n629: -0.07 ps
NAND-n630: -1.34 ps
INPUT-n631: -0.07 ps
NAND-n632: -1.34 ps
INPUT-n633: -0.07 ps
NAND-n634: -1.34 ps
INPUT-n635: -0.07 ps
NAND-n636: -1.34 ps
INPUT-n637: -0.07 ps
NAND-n638: -1.34 ps
INPUT-n639: -0.07 ps
NAND-n640: -1.34 ps
INPUT-n641: -0.07 ps
NAND-n642: -1.34 ps
INPUT-n643: -0.07 ps
NAND-n644: -1.34 ps
INPUT-n645: -0.07 ps
NAND-n646: -1.34 ps
INPUT-n647: -0.07 ps
NAND-n648: -1.34 ps
INPUT-n649: -0.07 ps
NAND-n650: -1.34 ps
INPUT-n651: -0.07 ps
NAND-n652: -1.34 ps
INPUT-n653: -0.07 ps
NAND-n654: -1.34 ps
INPUT-n655: -0.11 ps
NAND-n656: -1.34 ps
INPUT-n657: -0.11 ps
NAND-n658: -1.34 ps
INPUT-n659: -0.11 ps
NAND-n660: -1.34 ps
INPUT-n661: -0.11 ps
NAND-n662: -1.34 ps
INPUT-n663: -0.11 ps
NAND-n664: -1.34 ps
INPUT-n665: -0.11 ps
NAND-n666: -1.34 ps
INPUT-n667: -0.11 ps
NAND-n668: -1.34 ps
INPUT-n669: -0.11 ps
NAND-n670: -1.34 ps
INPUT-n671: -0.11 ps
NAND-n672: -1.34 ps
INPUT-n673: -0.11 ps
NAND-n674: -1.34 ps
INPUT-n675: -0.11 ps
NAND-n676: -1.34 ps
INPUT-n677: -0.11 ps
NAND-n678: -1.34 ps
INPUT-n679: -0.11 ps
NAND-n680: -1.34 ps
INPUT-n681: -0.11 ps
NAND-n682: -1.34 ps
INPUT-n683: -0.11 ps
NAND-n684: -1.34 ps
NAND-n685: -1.21 ps
NAND-n686: -1.21 ps
NAND-n687: -1.21 ps
NAND-n688: -1.21 ps
NAND-n689: -1.21 ps
NAND-n690: -1.21 ps
NAND-n691: -1.21 ps
NAND-n692: -1.21 ps
NAND-n693: -1.21 ps
NAND-n694: -1.21 ps
NAND-n695: -1.21 ps
NAND-n696: -1.21 ps
NAND-n697: -1.21 ps
NAND-n698: -1.21 ps
NAND-n699: -1.21 ps
NAND-n700: -1.21 ps
NAND-n701: -1.24 ps
NAND-n702: -1.24 ps
NAND-n703: -1.24 ps
NAND-n704: -1.24 ps
NAND-n705: -1.24 ps
NAND-n706: -1.24 ps
